ordem;processo;area;pontuacao_nao_calibrada;resultado_historico;rodada
4053;826.466/2017;1101;0.15895830140283557;0;8
4054;300.762/2013;312;0.15889593520654383;0;8
4055;815.726/2010;940;0.15886245496196952;1;8
4056;800.178/2016;503;0.1588112410274773;0;8
4057;300.187/2016;3839;0.1585090814998472;0;8
4058;811.083/2016;3999;0.1585090814998472;1;8
4059;300.539/2017;246;0.1581013149217251;1;8
4060;815.078/1999;2340;0.1578235004479764;0;8
4061;300.438/2022;3860;0.15771701796590662;0;8
4062;826.379/2016;1094;0.15748060617780762;0;8
4063;884.063/2016;3760;0.15748060617780762;1;8
4064;811.065/2016;4498;0.15745051026528012;1;8
4065;860.019/2019;1547;0.15680986328186258;1;8
4066;300.753/2022;3881;0.15680739902774748;1;8
4067;800.056/2017;487;0.15667673786885203;0;8
4068;896.631/2011;3789;0.1563147545531142;1;8
4069;896.169/2016;2242;0.15623481267473135;1;8
4070;811.162/2016;872;0.15593864108545943;0;8
4071;300.314/2016;3850;0.15589887777467193;0;8
4072;810.795/2016;3972;0.15589887777467193;1;8
4073;800.493/2011;557;0.1558748623454974;0;8
4074;803.164/2018;648;0.15586734783422068;1;8
4075;800.285/2019;516;0.15521590770271254;1;8
4076;800.588/2017;3624;0.1550715771397329;1;8
4077;890.384/2014;2197;0.15502759018202025;1;8
4078;800.038/2015;483;0.1550097448772597;0;8
4079;896.187/2015;4191;0.1549760929602356;1;8
4080;896.046/2014;2225;0.15493669677995403;0;8
4081;815.047/2018;2313;0.15474497612550595;0;8
4082;810.537/2018;3827;0.15470619649912973;0;8
4083;826.515/2017;1111;0.15452342654390408;0;8
4084;844.064/2017;2347;0.15452342654390408;1;8
4085;826.485/2017;4513;0.15452342654390408;0;8
4086;800.511/2016;559;0.15439296386819;1;8
4087;846.083/2009;2544;0.154303861024822;1;8
4088;872.048/2017;2058;0.15417853586766656;0;8
4089;890.011/2022;2169;0.1540471220677527;1;8
4090;810.100/1993;784;0.15389254778321226;0;8
4091;301.230/2020;428;0.15342120176942706;0;8
4092;826.481/2016;1104;0.1529642231494903;1;8
4093;861.332/2014;1743;0.1527351153451994;0;8
