ordem;processo;area;pontuacao_nao_calibrada;resultado_historico;rodada
1;880.044/2010;2113;0.962992263521997;1;8
2;301.031/2019;3908;0.8599036417465293;1;8
3;860.586/2016;4362;0.8573952479954796;0;8
4;860.698/2010;4545;0.8518066522538186;1;8
5;840.240/2018;4489;0.8508294936819071;0;8
6;826.084/2020;4369;0.8217850528577867;1;8
7;810.086/2016;3937;0.8194845824317579;1;8
8;803.239/2011;669;0.815283472516165;1;8
9;880.418/2008;2143;0.8108657507746811;0;8
10;300.484/2017;4208;0.8056442436374015;0;8
11;811.463/2016;4008;0.8054273317346372;0;8
12;880.154/2008;4167;0.803378271428414;0;8
13;300.485/2017;4298;0.8026922762124683;0;8
14;810.600/2016;3965;0.8011928199061153;0;8
15;878.019/2010;3748;0.8004870713388793;0;8
16;810.477/2008;3954;0.7993999591724223;0;8
17;878.095/2011;4562;0.7983863562733464;0;8
18;861.635/2012;4128;0.796685106760061;1;8
19;806.413/2012;2955;0.7948997662239076;0;8
20;896.389/2010;4995;0.7899782811143375;1;8
21;300.384/2018;4271;0.7766656315644306;0;8
22;878.094/2012;4374;0.7758272240075836;1;8
23;300.116/2020;4260;0.7754453704673141;0;8
24;300.925/2017;3899;0.7736002389491182;1;8
25;810.561/2010;3961;0.7706934438048457;1;8
26;810.565/2010;3962;0.7706934438048457;1;8
27;811.034/2009;3987;0.7698518735182339;1;8
28;811.025/2009;3985;0.7685132197256327;1;8
29;810.308/2019;4421;0.7683792124661996;1;8
30;811.062/2009;3994;0.7677348183304479;1;8
31;811.014/2009;3982;0.7658801340515781;0;8
32;811.021/2009;3983;0.7641725823440265;1;8
33;811.028/2009;3986;0.7641725823440265;1;8
34;826.492/2017;4549;0.7624573372059771;0;8
35;810.418/2017;4544;0.7616525436790247;0;8
36;861.104/2016;1712;0.7607794765728754;0;8
37;803.156/2013;646;0.7606785564682239;1;8
38;820.967/2008;1055;0.759014836111381;0;8
39;866.525/2015;1915;0.7541604358978341;0;8
40;860.584/2017;1644;0.7531816738642505;0;8
41;300.203/2016;3841;0.7511934310324526;1;8
42;300.912/2019;4452;0.749895383191341;0;8
43;861.416/2013;4125;0.74967127016839;0;8
44;803.306/2013;676;0.7488325033962026;0;8
45;826.479/2013;4424;0.7473460238825109;1;8
46;860.406/2015;3730;0.746245538297468;0;8
47;803.308/2013;678;0.7442292562355663;1;8
48;820.761/2007;4997;0.7368315454761118;0;8
49;810.346/2017;805;0.7367642233504127;0;8
50;811.051/2009;3988;0.733142916488033;1;8
51;811.055/2009;3989;0.733142916488033;1;8
52;811.058/2009;3990;0.733142916488033;1;8
53;811.059/2009;3991;0.733142916488033;1;8
54;811.060/2009;3992;0.733142916488033;1;8
55;811.061/2009;3993;0.733142916488033;1;8
56;811.063/2009;3995;0.733142916488033;1;8
57;811.064/2009;3996;0.733142916488033;0;8
58;811.065/2009;3997;0.733142916488033;0;8
59;811.066/2009;3998;0.733142916488033;1;8
60;840.306/2016;3833;0.7296801722925653;0;8
61;860.983/2014;4236;0.7263287389229175;0;8
62;846.132/2017;4085;0.725795382876061;0;8
63;300.762/2013;312;0.7246565864294152;1;8
64;811.341/2015;4005;0.7246077956902239;1;8
65;846.133/2017;4086;0.7225352531825544;1;8
66;803.112/2012;641;0.7209688239080225;1;8
67;878.136/2016;4354;0.7208323822758547;0;8
68;810.058/2011;3936;0.7207780665037558;1;8
69;840.309/2017;3362;0.7199195724198725;0;8
70;803.207/2013;657;0.7192840479116618;0;8
71;803.209/2013;660;0.7192840479116618;0;8
72;803.210/2013;661;0.7192840479116618;0;8
73;810.286/2019;2389;0.7192246216912589;1;8
74;803.208/2013;659;0.7191487822111786;0;8
75;300.819/2009;338;0.7187539322736476;0;8
76;840.385/2017;2998;0.718608776530883;0;8
77;803.111/2012;640;0.7176898568675877;1;8
78;300.818/2010;337;0.716938562053717;0;8
79;803.178/2015;651;0.716789601763972;0;8
80;803.103/2014;639;0.7148714635740715;0;8
81;840.079/2016;2525;0.7148516809021132;1;8
82;300.880/2011;364;0.7129429488986567;0;8
83;810.022/2018;779;0.711765652541362;1;8
84;848.141/2020;4518;0.71144023297124;0;8
85;300.187/2019;4294;0.711289390657935;0;8
86;803.202/2017;656;0.7107789181132581;0;8
87;300.139/2018;3838;0.7105228357414931;1;8
88;300.429/2017;2378;0.7092925648557842;1;8
89;860.141/2018;1564;0.7087714667665382;1;8
90;803.393/2011;691;0.7083746622396327;0;8
91;810.597/2010;3964;0.7082596388512777;1;8
92;803.077/2009;633;0.7080460838180052;0;8
93;803.411/2009;692;0.7078787269450914;0;8
94;803.273/2013;674;0.7075943514147246;0;8
95;300.599/2010;264;0.7058998835709714;1;8
96;860.413/2014;4444;0.7048126940720867;0;8
97;840.160/2015;2528;0.7035681603349565;1;8
98;803.322/2012;680;0.7026151129865948;1;8
99;840.163/2015;2529;0.702409209084499;0;8
100;861.083/2017;4121;0.7024032276497041;0;8
101;848.041/2015;2478;0.7023189910833653;0;8
102;860.027/2018;1548;0.7018367728576506;1;8
103;811.504/2014;4479;0.7012154080523513;0;8
104;803.054/2005;628;0.701101692958811;0;8
105;890.964/2014;2217;0.7010709309686263;1;8
106;820.187/2019;977;0.7003437169303361;1;8
107;810.953/2017;859;0.6995508558516687;1;8
108;803.211/2013;662;0.6993423469908558;0;8
