modelo;variavel_codificada
regressor;substancia_601056
regressor;substancia_601058
regressor;substancia_602003
regressor;substancia_700200
regressor;substancia_700400
regressor;substancia_700900
regressor;substancia_700901
regressor;substancia_701100
regressor;substancia_701202
regressor;substancia_701204
regressor;substancia_701205
regressor;substancia_701400
regressor;substancia_701500
regressor;substancia_701501
regressor;substancia_701505
regressor;substancia_701600
regressor;substancia_701700
regressor;substancia_701703
regressor;substancia_701800
regressor;substancia_701902
regressor;substancia_702100
regressor;substancia_702200
regressor;substancia_702300
regressor;substancia_702400
regressor;substancia_702401
regressor;substancia_702402
regressor;substancia_702600
regressor;substancia_702700
regressor;substancia_702900
regressor;substancia_703200
regressor;substancia_703300
regressor;substancia_703400
regressor;substancia_703600
regressor;substancia_703900
regressor;substancia_704100
regressor;substancia_704105
regressor;substancia_704200
regressor;substancia_704300
regressor;substancia_704400
regressor;substancia_704700
regressor;substancia_704800
regressor;substancia_705100
regressor;substancia_705200
regressor;substancia_705300
regressor;substancia_705400
regressor;substancia_705500
regressor;substancia_705601
regressor;substancia_705700
regressor;substancia_705800
regressor;substancia_705900
regressor;substancia_706100
regressor;substancia_706107
regressor;substancia_707100
regressor;substancia_708100
regressor;substancia_710100
regressor;substancia_710400
regressor;substancia_710500
regressor;substancia_710604
regressor;substancia_710700
regressor;substancia_711400
regressor;substancia_711700
regressor;substancia_711800
regressor;substancia_711805
regressor;substancia_711900
regressor;substancia_712100
regressor;substancia_712200
regressor;substancia_712300
regressor;substancia_712400
regressor;substancia_712500
regressor;substancia_712600
regressor;substancia_713100
regressor;substancia_713200
regressor;substancia_713300
regressor;substancia_713700
regressor;substancia_714100
regressor;substancia_714101
regressor;substancia_800101
regressor;substancia_800300
regressor;substancias_historicas
regressor;titulo_1
regressor;titulo_11
regressor;titulo_3
regressor;titulo_4
regressor;titulo_99
regressor;titulos_publicados
regressor;uf=Acre
regressor;uf=Alagoas
regressor;uf=Amapá
regressor;uf=Amazonas
regressor;uf=Bahia
regressor;uf=Ceará
regressor;uf=Distrito Federal
regressor;uf=Espírito Santo
regressor;uf=Goiás
regressor;uf=Maranhão
regressor;uf=Mato Grosso
regressor;uf=Mato Grosso do Sul
regressor;uf=Minas Gerais
regressor;uf=Paraná
regressor;uf=Paraíba
regressor;uf=Pará
regressor;uf=Pernambuco
regressor;uf=Piauí
regressor;uf=Rio Grande do Norte
regressor;uf=Rio Grande do Sul
regressor;uf=Rio de Janeiro
regressor;uf=Rondônia
regressor;uf=Roraima
regressor;uf=Santa Catarina
regressor;uf=Sergipe
regressor;uf=São Paulo
regressor;uf=Tocantins
